UID,iso2,iso3,code3,FIPS,Admin2,Lat,Combined_Key,Date,Case,Long,Country/Region,Province/State
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-12,95,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-13,154,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-14,269,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-15,269,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-16,463,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-17,814,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-18,1871,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-19,3954,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-20,5151,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-21,7530,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-22,9654,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-23,12305,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-24,14904,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-25,17856,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-26,21873,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-27,25573,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-28,29776,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-29,33768,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-30,37453,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-03-31,43119,-73.97152637,US,New York
